codigo,clave,descripcion,caja,master,precio,unidad,ean,precio minimo de venta,alta rotacion,precio mayoreo con IVA,precio distribuidor con IVA,precio publico con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio publico sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripcion Familia,Peso[Kg],Volumen[cm3]
10000,PC-PE,Pala (lampa) cuchara Peru Truper,3,0,0,Pieza,7.51E+12,95,0,*,95,*,*,81.9,*,Truper,109.48,127,27112004,Palas,P299,Palas nacionales,1.653,8414.986
100048,PET-15X,Llave ajustable (perico) 15' cromada mango de PVC Truper,4,12,515,Pieza,7.51E+12,325,0,425,325,515,366.38,280.17,443.97,Truper,400.86,465,27111707,Llaves ajustables,P085,Llaves ajustables,1.31,1660.968
100049,PET-15C,Llave ajustable (perico) 15' profesional cromada Expert,4,12,779,Pieza,7.51E+12,495,0,645,495,779,556.03,426.72,671.55,Expert,611.21,709,27111707,Llaves ajustables,P085,Llaves ajustables,1.42,1660.968
100098,REP-CUT-5X,Estuche con 10 cuchillas SK2 de 9 mm para cutter Expert,6,144,27,Set,7.51E+12,17,0,22,17,27,18.97,14.66,23.28,Expert,20.69,24,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.03,139.554
100099,REP-CUT-6X,Estuche con 10 cuchillas SK2 de 18 mm para cutter Expert,6,144,46,Set,7.51E+12,29,0,38,29,46,32.76,25,39.66,Expert,36.21,42,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.08,186.367
100101,REP-CUT-650,Estuche con 50 cuchillas SK4 de 18 mm para cutter Truper,2,20,125,Set,7.51E+12,79,0,105,79,125,90.52,68.1,107.76,Truper,99.14,115,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.38,459.267
100103,ST-724X,Disco sierra 7-1/4' p/madera 24 dientes centro 5/8' Expert,3,12,305,Pieza,7.51E+12,195,0,255,195,305,219.83,168.1,262.93,Expert,240.52,279,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.32,644.779
100104,ST-740X,Disco sierra 7-1/4' p/madera 40 dientes centro 5/8' Expert,3,12,385,Pieza,7.51E+12,245,0,319,245,385,275,211.21,331.9,Expert,300.86,349,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.34,660.66
100105,ST-1040EX,Disco sierra 10' para madera 40 dientes centro 1' Expert,3,12,619,Pieza,7.51E+12,395,0,515,395,619,443.97,340.52,533.62,Expert,487.07,565,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.68,1139.761
100106,ST-1060EX,Disco sierra 10' para madera 60 dientes centro 1' Expert,3,12,745,Pieza,7.51E+12,475,0,615,475,745,530.17,409.48,642.24,Expert,585.34,679,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.7,1113.083
